zip,fips,county,STATE
36003,01001,Autauga County,AL
36006,01001,Autauga County,AL
36067,01001,Autauga County,AL
36066,01001,Autauga County,AL
36703,01001,Autauga County,AL
36701,01001,Autauga County,AL
36091,01001,Autauga County,AL
36051,01001,Autauga County,AL
36068,01001,Autauga County,AL
36008,01001,Autauga County,AL
36022,01001,Autauga County,AL
36749,01001,Autauga County,AL
36758,01001,Autauga County,AL
36550,01003,Baldwin County,AL
36551,01003,Baldwin County,AL
36527,01003,Baldwin County,AL
36577,01003,Baldwin County,AL
36559,01003,Baldwin County,AL
36536,01003,Baldwin County,AL
36576,01003,Baldwin County,AL
36579,01003,Baldwin County,AL
36502,01003,Baldwin County,AL
36578,01003,Baldwin County,AL
36533,01003,Baldwin County,AL
36564,01003,Baldwin County,AL
36561,01003,Baldwin County,AL
36580,01003,Baldwin County,AL
36535,01003,Baldwin County,AL
36547,01003,Baldwin County,AL
36549,01003,Baldwin County,AL
36530,01003,Baldwin County,AL
36562,01003,Baldwin County,AL
36532,01003,Baldwin County,AL
36526,01003,Baldwin County,AL
36555,01003,Baldwin County,AL
36511,01003,Baldwin County,AL
36567,01003,Baldwin County,AL
36574,01003,Baldwin County,AL
36480,01003,Baldwin County,AL
36507,01003,Baldwin County,AL
36542,01003,Baldwin County,AL
36017,01005,Barbour County,AL
36016,01005,Barbour County,AL
36311,01005,Barbour County,AL
36374,01005,Barbour County,AL
36048,01005,Barbour County,AL
36053,01005,Barbour County,AL
36317,01005,Barbour County,AL
36027,01005,Barbour County,AL
36072,01005,Barbour County,AL
35035,01007,Bibb County,AL
35034,01007,Bibb County,AL
36750,01007,Bibb County,AL
35115,01007,Bibb County,AL
35188,01007,Bibb County,AL
36793,01007,Bibb County,AL
35074,01007,Bibb County,AL
35042,01007,Bibb County,AL
35111,01007,Bibb County,AL
35184,01007,Bibb County,AL
36792,01007,Bibb County,AL
35456,01007,Bibb County,AL
35031,01009,Blount County,AL
35121,01009,Blount County,AL
35063,01009,Blount County,AL
35016,01009,Blount County,AL
35079,01009,Blount County,AL
35097,01009,Blount County,AL
35133,01009,Blount County,AL
35957,01009,Blount County,AL
35126,01009,Blount County,AL
35049,01009,Blount County,AL
35172,01009,Blount County,AL
35952,01009,Blount County,AL
35180,01009,Blount County,AL
35146,01009,Blount County,AL
35976,01009,Blount County,AL
35980,01009,Blount County,AL
35013,01009,Blount County,AL
36830,01011,Bullock County,AL
36031,01011,Bullock County,AL
36089,01011,Bullock County,AL
36029,01011,Bullock County,AL
36081,01011,Bullock County,AL
36860,01011,Bullock County,AL
36053,01011,Bullock County,AL
36005,01011,Bullock County,AL
36052,01011,Bullock County,AL
36037,01013,Butler County,AL
36033,01013,Butler County,AL
36032,01013,Butler County,AL
36456,01013,Butler County,AL
36474,01013,Butler County,AL
36030,01013,Butler County,AL
36042,01013,Butler County,AL
36071,01013,Butler County,AL
36015,01013,Butler County,AL
36206,01015,Calhoun County,AL
36204,01015,Calhoun County,AL
35096,01015,Calhoun County,AL
36279,01015,Calhoun County,AL
36205,01015,Calhoun County,AL
36260,01015,Calhoun County,AL
36271,01015,Calhoun County,AL
36272,01015,Calhoun County,AL
36201,01015,Calhoun County,AL
36203,01015,Calhoun County,AL
36207,01015,Calhoun County,AL
36265,01015,Calhoun County,AL
36202,01015,Calhoun County,AL
36257,01015,Calhoun County,AL
36253,01015,Calhoun County,AL
36254,01015,Calhoun County,AL
35905,01015,Calhoun County,AL
36250,01015,Calhoun County,AL
36277,01015,Calhoun County,AL
36852,01017,Chambers County,AL
36855,01017,Chambers County,AL
36879,01017,Chambers County,AL
36274,01017,Chambers County,AL
36862,01017,Chambers County,AL
36863,01017,Chambers County,AL
36801,01017,Chambers County,AL
36854,01017,Chambers County,AL
36276,01017,Chambers County,AL
36850,01017,Chambers County,AL
35973,01019,Cherokee County,AL
35959,01019,Cherokee County,AL
35901,01019,Cherokee County,AL
35984,01019,Cherokee County,AL
36272,01019,Cherokee County,AL
35967,01019,Cherokee County,AL
35961,01019,Cherokee County,AL
35903,01019,Cherokee County,AL
36275,01019,Cherokee County,AL
35960,01019,Cherokee County,AL
35983,01019,Cherokee County,AL
36006,01021,Chilton County,AL
35115,01021,Chilton County,AL
35040,01021,Chilton County,AL
36790,01021,Chilton County,AL
36758,01021,Chilton County,AL
36793,01021,Chilton County,AL
36750,01021,Chilton County,AL
36051,01021,Chilton County,AL
35046,01021,Chilton County,AL
35045,01021,Chilton County,AL
35171,01021,Chilton County,AL
36792,01021,Chilton County,AL
35085,01021,Chilton County,AL
36091,01021,Chilton County,AL
36908,01023,Choctaw County,AL
36913,01023,Choctaw County,AL
36919,01023,Choctaw County,AL
36921,01023,Choctaw County,AL
36904,01023,Choctaw County,AL
36912,01023,Choctaw County,AL
36910,01023,Choctaw County,AL
36916,01023,Choctaw County,AL
36922,01023,Choctaw County,AL
36558,01023,Choctaw County,AL
36915,01023,Choctaw County,AL
36436,01025,Clarke County,AL
36751,01025,Clarke County,AL
36446,01025,Clarke County,AL
36524,01025,Clarke County,AL
36784,01025,Clarke County,AL
36451,01025,Clarke County,AL
36540,01025,Clarke County,AL
36482,01025,Clarke County,AL
36727,01025,Clarke County,AL
36782,01025,Clarke County,AL
36545,01025,Clarke County,AL
36251,01027,Clay County,AL
36267,01027,Clay County,AL
35082,01027,Clay County,AL
35160,01027,Clay County,AL
35072,01027,Clay County,AL
35089,01027,Clay County,AL
36266,01027,Clay County,AL
36255,01027,Clay County,AL
36256,01027,Clay County,AL
36258,01027,Clay County,AL
36276,01027,Clay County,AL
36268,01027,Clay County,AL
36273,01029,Cleburne County,AL
36269,01029,Cleburne County,AL
36207,01029,Cleburne County,AL
36268,01029,Cleburne County,AL
36258,01029,Cleburne County,AL
36262,01029,Cleburne County,AL
36261,01029,Cleburne County,AL
36264,01029,Cleburne County,AL
36272,01029,Cleburne County,AL
36322,01031,Coffee County,AL
36453,01031,Coffee County,AL
36079,01031,Coffee County,AL
36351,01031,Coffee County,AL
36477,01031,Coffee County,AL
36346,01031,Coffee County,AL
36311,01031,Coffee County,AL
36010,01031,Coffee County,AL
36318,01031,Coffee County,AL
36034,01031,Coffee County,AL
36316,01031,Coffee County,AL
36009,01031,Coffee County,AL
36330,01031,Coffee County,AL
36323,01031,Coffee County,AL
36467,01031,Coffee County,AL
36360,01031,Coffee County,AL
35616,01033,Colbert County,AL
35654,01033,Colbert County,AL
35646,01033,Colbert County,AL
35653,01033,Colbert County,AL
35582,01033,Colbert County,AL
35674,01033,Colbert County,AL
35661,01033,Colbert County,AL
35672,01033,Colbert County,AL
35660,01033,Colbert County,AL
36471,01035,Conecuh County,AL
36330,01035,Conecuh County,AL
36426,01035,Conecuh County,AL
36454,01035,Conecuh County,AL
36460,01035,Conecuh County,AL
36401,01035,Conecuh County,AL
36442,01035,Conecuh County,AL
36473,01035,Conecuh County,AL
36502,01035,Conecuh County,AL
36475,01035,Conecuh County,AL
36456,01035,Conecuh County,AL
36432,01035,Conecuh County,AL
36474,01035,Conecuh County,AL
36421,01035,Conecuh County,AL
36033,01035,Conecuh County,AL
35151,01037,Coosa County,AL
35150,01037,Coosa County,AL
36026,01037,Coosa County,AL
36080,01037,Coosa County,AL
35046,01037,Coosa County,AL
35089,01037,Coosa County,AL
35136,01037,Coosa County,AL
35072,01037,Coosa County,AL
35010,01037,Coosa County,AL
35183,01037,Coosa County,AL
36420,01039,Covington County,AL
36421,01039,Covington County,AL
36453,01039,Covington County,AL
36483,01039,Covington County,AL
36455,01039,Covington County,AL
36476,01039,Covington County,AL
36467,01039,Covington County,AL
36474,01039,Covington County,AL
36038,01039,Covington County,AL
36401,01039,Covington County,AL
36028,01039,Covington County,AL
36477,01039,Covington County,AL
36442,01039,Covington County,AL
36456,01039,Covington County,AL
36037,01041,Crenshaw County,AL
36035,01041,Crenshaw County,AL
36009,01041,Crenshaw County,AL
36071,01041,Crenshaw County,AL
36049,01041,Crenshaw County,AL
36028,01041,Crenshaw County,AL
36036,01041,Crenshaw County,AL
36041,01041,Crenshaw County,AL
36034,01041,Crenshaw County,AL
36046,01041,Crenshaw County,AL
36042,01041,Crenshaw County,AL
36467,01041,Crenshaw County,AL
36323,01041,Crenshaw County,AL
35057,01043,Cullman County,AL
35087,01043,Cullman County,AL
35033,01043,Cullman County,AL
35058,01043,Cullman County,AL
35056,01043,Cullman County,AL
35179,01043,Cullman County,AL
35622,01043,Cullman County,AL
35053,01043,Cullman County,AL
35098,01043,Cullman County,AL
35619,01043,Cullman County,AL
35541,01043,Cullman County,AL
35670,01043,Cullman County,AL
35077,01043,Cullman County,AL
35016,01043,Cullman County,AL
35621,01043,Cullman County,AL
35540,01043,Cullman County,AL
35976,01043,Cullman County,AL
35083,01043,Cullman County,AL
35070,01043,Cullman County,AL
35019,01043,Cullman County,AL
