County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update
New York,New York,2469,598,11,0.4%,40.71455,-74.00714,2020-03-19 13:27 EDT
Westchester,New York,798,260,0,0%,41.16319759,-73.7560629,2020-03-19 13:27 EDT
Nassau,New York,372,94,1,0.3%,40.74165225,-73.58899619,2020-03-19 13:27 EDT
Suffolk,New York,178,26,3,1.7%,40.87732808,-72.85898036,2020-03-19 13:27 EDT
Rockland,New York,53,22,1,1.9%,41.152374,-74.02401032,2020-03-19 13:27 EDT
Orange,New York,51,19,0,0%,41.40206825,-74.30559567,2020-03-19 13:27 EDT
Albany,New York,43,7,0,0%,42.65155,-73.75520999999999,2020-03-19 13:27 EDT
Dutchess,New York,31,11,0,0%,41.76477515,-73.74281684,2020-03-19 13:27 EDT
Monroe,New York,30,8,1,3.3%,43.14604282,-77.69674911,2020-03-19 13:27 EDT
Erie,New York,28,1,0,0%,42.76382119,-78.73224973,2020-03-19 13:27 EDT
Saratoga,New York,14,0,0,0%,43.06974,-73.63661,2020-03-19 13:27 EDT
Schenectady,New York,14,0,0,0%,42.81238,-73.94122,2020-03-19 13:27 EDT
Ulster,New York,9,0,0,0%,41.95986,-73.99033,2020-03-19 13:27 EDT
Tompkins,New York,6,0,0,0%,42.44933495,-76.47064359,2020-03-19 13:27 EDT
Onondaga,New York,6,0,0,0%,43.004870000000004,-76.1836,2020-03-19 13:27 EDT
Rensselaer,New York,4,0,0,0%,42.71086263,-73.5097379,2020-03-19 13:27 EDT
Niagara,New York,4,3,0,0%,43.19998147,-78.74522262,2020-03-19 13:27 EDT
Putnam,New York,2,0,0,0%,41.42653455,-73.7494999,2020-03-19 13:27 EDT
Greene,New York,2,0,0,0%,42.27654571,-74.12261588,2020-03-19 13:27 EDT
Montgomery,New York,2,0,0,0%,42.90229179999999,-74.43960085,2020-03-19 13:27 EDT
Allegany,New York,2,0,0,0%,42.25739788,-78.02755444,2020-03-19 13:27 EDT
Oneida,New York,2,0,0,0%,43.24306498,-75.42583597,2020-03-19 13:27 EDT
Wyoming,New York,2,1,0,0%,42.70242659,-78.22443261,2020-03-19 13:27 EDT
Delaware,New York,1,0,0,0%,42.19804334,-74.96635196,2020-03-19 13:27 EDT
Herkimer,New York,1,0,0,0%,43.0259,-74.98433,2020-03-19 13:27 EDT
Broome,New York,1,0,0,0%,42.16021802,-75.81964586,2020-03-19 13:27 EDT
Tioga,New York,1,0,0,0%,42.06057,-76.34519,2020-03-19 13:27 EDT
Ontario,New York,1,0,0,0%,42.85288942,-77.29981098,2020-03-19 13:27 EDT
Clinton,New York,1,0,0,0%,43.04825,-75.37878,2020-03-19 13:27 EDT
Essex,New York,1,0,0,0%,44.10755697,-73.79125847,2020-03-19 13:27 EDT
Sullivan,New York,1,0,0,0%,41.71631354,-74.76811083,2020-03-19 13:27 EDT
Genesee,New York,1,0,0,0%,43.00094016,-78.1936949,2020-03-19 13:27 EDT
Warren,New York,1,0,0,0%,43.5592099,-73.85881158,2020-03-19 13:27 EDT
Washington,New York,1,0,0,0%,43.31227113,-73.43096234,2020-03-19 13:27 EDT
Hamilton,New York,1,0,0,0%,43.66130373,-74.49733573,2020-03-19 13:27 EDT
Chenango,New York,1,0,0,0%,42.49349443,-75.61153709999999,2020-03-19 13:27 EDT
Schoharie,New York,1,0,0,0%,42.58820746,-74.44213588,2020-03-19 13:27 EDT
King,Washington,562,0,56,10%,47.49011813,-121.8043324,2020-03-19 13:27 EDT
Snohomish,Washington,310,0,6,1.9%,47.9124,-122.09306000000001,2020-03-19 13:27 EDT
Pierce,Washington,56,0,1,1.8%,47.02270813,-122.1014408,2020-03-19 13:27 EDT
Island,Washington,16,0,0,0%,48.19160936,-122.6650075,2020-03-19 13:27 EDT
Skagit,Washington,14,0,0,0%,48.47933023,-121.72808020000001,2020-03-19 13:27 EDT
Kitsap,Washington,9,0,0,0%,47.47496219,-122.6085325,2020-03-19 13:27 EDT
Grant,Washington,8,0,1,12.5%,47.19885794,-119.4525987,2020-03-19 13:27 EDT
Whatcom,Washington,7,0,0,0%,48.82559702,-121.7174182,2020-03-19 13:27 EDT
Yakima,Washington,7,0,0,0%,46.60448,-120.50721000000001,2020-03-19 13:27 EDT
Thurston,Washington,6,0,0,0%,46.91980578,-122.82986909999998,2020-03-19 13:27 EDT
Spokane,Washington,5,0,0,0%,47.65726,-117.41228000000001,2020-03-19 13:27 EDT
Jefferson,Washington,4,0,0,0%,47.74810608,-123.6000095,2020-03-19 13:27 EDT
Clark,Washington,4,0,3,75%,45.78187331,-122.48127849999999,2020-03-19 13:27 EDT
Kittitas,Washington,4,0,0,0%,46.98472,-120.41752,2020-03-19 13:27 EDT
Chelan,Washington,2,0,0,0%,47.86707169,-120.62526770000001,2020-03-19 13:27 EDT
Benton-Franklin,Washington,2,0,1,50%,38.553779999999996,-91.00092,2020-03-19 13:27 EDT
Grays Harbor,Washington,1,0,0,0%,47.15055235,-123.7737432,2020-03-19 13:27 EDT
Columbia,Washington,1,0,0,0%,46.29757684,-117.90786340000001,2020-03-19 13:27 EDT
Lincoln,Washington,1,0,0,0%,47.57305061,-118.4177041,2020-03-19 13:27 EDT
Cowlitz,Washington,1,0,0,0%,46.19454048,-122.67832720000001,2020-03-19 13:27 EDT
Lewis,Washington,1,0,0,0%,46.57779491,-122.39291580000001,2020-03-19 13:27 EDT
Klickitat,Washington,1,0,0,0%,45.87640914,-120.79203970000002,2020-03-19 13:27 EDT
Mason,Washington,1,0,0,0%,38.61504,-83.80988,2020-03-19 13:27 EDT
Los Angeles,California,190,0,1,0.5%,34.053490000000004,-118.24531999999999,2020-03-19 13:27 EDT
Santa Clara,California,175,0,6,3.4%,37.35579,-121.95508999999998,2020-03-19 13:27 EDT
San Mateo,California,80,0,1,1.3%,37.54704,-122.31485,2020-03-19 13:27 EDT
San Diego,California,76,0,0,0%,32.71568,-117.16171000000001,2020-03-19 13:27 EDT
San Francisco,California,70,19,0,0%,37.777120000000004,-122.41963999999999,2020-03-19 13:27 EDT
Orange,California,42,0,0,0%,33.78787,-117.85071,2020-03-19 13:27 EDT
Contra Costa,California,41,2,0,0%,37.91793732,-121.9259354,2020-03-19 13:27 EDT
Sacramento,California,40,0,2,5%,38.579440000000005,-121.49085,2020-03-19 13:27 EDT
Alameda,California,34,0,0,0%,37.76683,-122.2453,2020-03-19 13:27 EDT
Riverside,California,16,0,3,18.8%,33.98171,-117.37404,2020-03-19 13:27 EDT
Marin,California,15,0,0,0%,38.07188727,-122.7195348,2020-03-19 13:27 EDT
San Joaquin,California,14,0,2,14.3%,37.93479557,-121.2713112,2020-03-19 13:27 EDT
Santa Cruz,California,13,0,0,0%,36.97424,-122.03098,2020-03-19 13:27 EDT
Ventura,California,13,1,0,0%,34.28082,-119.29231999999999,2020-03-19 13:27 EDT
Placer,California,9,0,1,11.1%,39.05913563,-120.75363279999999,2020-03-19 13:27 EDT
Solano,California,8,0,0,0%,38.27793363,-121.9272405,2020-03-19 13:27 EDT
San Luis Obispo,California,7,0,0,0%,35.285790000000006,-120.66275,2020-03-19 13:27 EDT
Sonoma,California,6,0,0,0%,38.29188,-122.45728000000001,2020-03-19 13:27 EDT
Yolo,California,5,0,0,0%,38.73431,-121.81278999999999,2020-03-19 13:27 EDT
Stanislaus,California,5,0,0,0%,37.55932622,-120.9976619,2020-03-19 13:27 EDT
Tulare,California,5,0,0,0%,36.20649,-119.34305,2020-03-19 13:27 EDT
San Bernardino,California,5,0,0,0%,34.10524,-117.29411999999999,2020-03-19 13:27 EDT
San Benito,California,3,0,0,0%,36.50506,-121.08332,2020-03-19 13:27 EDT
Fresno,California,3,0,0,0%,36.740840000000006,-119.78551999999999,2020-03-19 13:27 EDT
Santa Barbara,California,3,0,0,0%,34.41938,-119.69905,2020-03-19 13:27 EDT
Calaveras,California,2,0,0,0%,38.20473567,-120.55406550000001,2020-03-19 13:27 EDT
Imperial,California,2,0,0,0%,32.84748,-115.56952,2020-03-19 13:27 EDT
Monterey,California,2,0,0,0%,36.21714603,-121.2390196,2020-03-19 13:27 EDT
Humboldt,California,1,0,0,0%,40.69879803,-123.87371470000001,2020-03-19 13:27 EDT
Madera,California,1,0,0,0%,36.96205,-120.06398999999999,2020-03-19 13:27 EDT
Shasta,California,1,0,0,0%,40.598279999999995,-122.49095,2020-03-19 13:27 EDT
Nevada,California,1,0,0,0%,34.06589,-117.21746,2020-03-19 13:27 EDT
Kern,California,1,0,0,0%,35.34281638,-118.7299395,2020-03-19 13:27 EDT
Grand Princess,California,0,0,1,Infinity%,33.96649,-117.40709,2020-03-19 13:27 EDT
Bergen,New Jersey,114,0,2,1.8%,40.95949149,-74.074442,2020-03-19 13:27 EDT
Essex,New Jersey,45,0,1,2.2%,40.78779259,-74.24760059,2020-03-19 13:27 EDT
Middlesex,New Jersey,40,0,0,0%,40.57936,-74.50067,2020-03-19 13:27 EDT
Hudson,New Jersey,34,0,1,2.9%,40.74034231,-74.07410970000001,2020-03-19 13:27 EDT
Monmouth,New Jersey,32,0,1,3.1%,40.2600411,-74.22194634,2020-03-19 13:27 EDT
Union,New Jersey,26,0,0,0%,40.69635,-74.26957,2020-03-19 13:27 EDT
Morris,New Jersey,19,0,0,0%,40.86201902,-74.5442741,2020-03-19 13:27 EDT
Passaic,New Jersey,18,0,0,0%,40.86034,-74.12374,2020-03-19 13:27 EDT
Somerset,New Jersey,16,0,0,0%,40.49859,-74.52249,2020-03-19 13:27 EDT
Mercer,New Jersey,15,0,0,0%,40.28331911,-74.70157374,2020-03-19 13:27 EDT
Burlington,New Jersey,10,0,0,0%,40.07687,-74.85775,2020-03-19 13:27 EDT
Camden,New Jersey,8,0,0,0%,39.94525,-75.11913,2020-03-19 13:27 EDT
Ocean,New Jersey,8,0,0,0%,39.90927434,-74.2969653,2020-03-19 13:27 EDT
Hunterdon,New Jersey,6,0,0,0%,40.56725317,-74.91217921,2020-03-19 13:27 EDT
Atlantic,New Jersey,3,0,0,0%,39.4806564,-74.67264306,2020-03-19 13:27 EDT
Gloucester,New Jersey,2,0,0,0%,39.71720107,-75.14164366,2020-03-19 13:27 EDT
Gloucester,New Jersey,2,0,0,0%,39.71720107,-75.14164366,2020-03-19 13:27 EDT
Warren,New Jersey,1,0,0,0%,40.85732358,-74.997063,2020-03-19 13:27 EDT
Broward,Florida,96,16,1,1%,26.15224542,-80.48705340000001,2020-03-19 13:27 EDT
Dade,Florida,86,9,0,0%,25.77885375,-80.17996506,2020-03-19 13:27 EDT
Palm Beach,Florida,29,8,0,0%,26.70288,-80.03661,2020-03-19 13:27 EDT
Hillsborough,Florida,19,5,0,0%,27.93023096,-82.30785534,2020-03-19 13:27 EDT
Collier,Florida,18,5,0,0%,26.11625563,-81.34013334,2020-03-19 13:27 EDT
Duval,Florida,15,1,0,0%,30.478440000000003,-81.62557,2020-03-19 13:27 EDT
Orange,Florida,15,4,2,13.3%,41.33141,-74.35667,2020-03-19 13:27 EDT
Pinellas,Florida,14,2,0,0%,27.9313392,-82.72194025,2020-03-19 13:27 EDT
Lee,Florida,11,0,1,9.1%,26.57965162,-81.82468531,2020-03-19 13:27 EDT
